disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),33,2,2020,https://www.researchgate.net/publication/357483651_Estimation_Des_Concentrations_Et_Cartographie_De_La_Dynamique_Des_Polluants_Atmosperiques_Particulaires_Dans_La_Ville_D'abidjan,"En Côte d'Ivoire, la gestion et la sécurité sanitaire liée à la pollution atmosphérique revet un grand interêt . Dans ce même élan de gestion de la qualité de l'air l'OMS a fixé un seuil d'émission que les pays doivent intégrer dans leur mode de gestion. Cependant, dans les villes de grandes concentrations comme Abidjan il est parfois difficile de maitriser les paramètres d'émissions. L'objectif de cette étude est donc d'estimer les concentrations des polluants atmospreriques particulaires PM2.5 et ensuite cartographier la dynamique de ces polluants de 2015 à 2020. Pour atteindre cet objectif , les données de l'imagerie satellitaire LANDSAT ont été utilisées. Il a s'agit de calculer les réflectances de surfaces et les réflectances au sommet de l'atmosphère. Le but de ces calculs était de déduire les réflectances atmosphériques. En considérant la relation étroite existence entre les PM2.5 et la réflectance atmosphérique un modèle de régression linéaire a été conidéré pour déduire les PM2.5. Les résultats ont montré que les concentrations des PM2.5 sont de façon générale au-dessus du seuil de l'OMS. Ces valeurs sont de 31 μg/m3 en janvier 2015 , de 36 μg/m3 en janvier 2016 , de 32 μg/m3 en décembre 2016, de 33 μg/m3 en janvier 2019 et de 33 μg/m3 en janvier 2020. Cela donne une concentration moyenne de 33 μg/m3. Les communes de Yopougon Nord, Abobo Ouest, Cocody ouest et Port-Bouet Est sont les zones les plus pollués avec des concentrations allant de 26 à 49 μg/m3 ."
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),15.0,5.0,2023.0,https://www.iqair.com/fr/ivory-coast/abidjan,"Le parc automobile de taxis communaux, de l'ensemble des véhicules à moteurs de la commune et des communes environnantes qui transitent par notre commune sont à 95% responsables des problèmes de pollution de l'air."
2025 Disclosure Cycle,779465,CDP,73666,"Cuyahoga County, OH",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9.3,7,2022,https://dam.assets.ohio.gov/image/upload/epa.ohio.gov/Portals/27/ams/Ohio_Air_Quality_2022_final.pdf,2020-2022 PM2.5\nAnnual Design\nValue (ug/m3)
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,NA
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8,5,2019,https://www.miamidade.gov/environment/,Data provided internally by the Miami-Dade County Division of Environmental Resources Management (DERM). Data is for CY2019
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),42.0,5,2019,https://www.miamidade.gov/environment/,"Data provided internally by the Miami-Dade County Division of Environmental Resources Management (DERM). Value is 1-hour data in units of PPB, as this is the data that was available. Data is for CY2019"
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: Ozone is reported at 0.062 PPB for 8-hour value,0.062,5,2019,https://www.miamidade.gov/environment/,Data provided internally by the Miami-Dade County Division of Environmental Resources Management (DERM). Data is for CY2019
2025 Disclosure Cycle,779465,CDP,74332,Manado City,City,South East Asia & Oceania,Indonesia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: IKU,92.42,0,2024,https://ppkl.menlhk.go.id/website/\n,"Nilai IKU Kota Manado\n2020: 30,56 (kategori buruk)\n2022: 90,40 (kategori baik)\n\n\nRPJMD 2022: 91,01\nRPJMD 2023: 89,58\nRPJMD 2024: 92,42\n\nTarget RPJMD 2025-2030: stabil di kisaran 92-95\n\nKesimpulan\nKualitas udara Manado membaik signifikan dari tahun 2020 (buruk, IKU 30,56) menjadi baik (>90) sejak 2022.\n\nPemerintah menargetkan agar kualitas udara tetap terjaga baik (IKU di atas 90) sepanjang periode 2025-2030."
2025 Disclosure Cycle,779465,CDP,74371,Himeji,City,Japan,Japan,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,　
2025 Disclosure Cycle,779465,CDP,74575,"Dane County, WI",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.5,2,2020,https://dnr.wisconsin.gov/topic/AirQuality/Trends.html,"The City of Madison is in the process of adding additional air quality monitoring. While that won't be county wide, it will expand our data next year"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: O3,43.2,1,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","Manavgat station (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: PM10,36.5,8,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","(General average calculated based on the annual averages of Alanya, Kepez, Muratpaşa, Serik, Gazipaşa, Kumluca, Trafik, Manavgat stations) (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17.5,4,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","Average of Kepez, Gazipaşa, Kumluca and Trafik stations) (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),71,,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","(total of all stations, based on PM10 parameter) (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,NO2 concentration (annual average) level (ug/m3),12.4,2,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","Traffic and Manavgat stations average (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: CO,560,2,2023,"Antalya Province 2023 Environmental Status Report , havaizleme.gov.tr","Average of Kepez and Serik stations (Within the scope of the 2023 Antalya Province Environmental Status Report, there are eight air quality monitoring stations throughout the province (Alanya, Serik, Kepez, Gazipaşa, Kumluca, Muratpaşa, Trafik, and Manavgat). These stations measure PM10, PM2.5, NO₂, SO₂, CO₃, and O₃.\nStation averages were used for PM2.5 and NO₂, the mandatory parameters of the CDP. Additionally, the number of days exceeding the air quality guideline values for PM10 was calculated as 71 days.\nIn addition, other indicators discussed in the report (PM10, SO₂, CO₃, and O₃) are also monitored and are presented for illustrative purposes.)"
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),31.37,17,2024,https://sim.csb.gov.tr/STN/STN_Report/StationDataDownloadNew,This is the average of the NO2 values measured at 17 stations.
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),20.49,3,2024,https://sim.csb.gov.tr/STN/STN_Report/StationDataDownloadNew,This is the average of the PM 2.5 values measured at 3 stations.
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),48,,2024,https://sim.csb.gov.tr/STN/STN_Report/StationDataDownloadNew,"It indicates the number of days exceeding the PM10 parameter. This value is calculated as the number of days exceeding 50 µg/m³ at 19 stations, and then averaged."
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: SO2 concentration (annual average) level (ug/m3),11.43,17,2024,https://sim.csb.gov.tr/STN/STN_Report/StationDataDownloadNew,This is the average of the SO2 values measured at 17 stations.
2025 Disclosure Cycle,779465,CDP,74690,Municipality of L'Hospitalet de Llobregat,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),984.44,1,2023,https://www.seu-e.cat/ca/web/hospitaletdellobregat/dades-obertes/-/dadesobertes/dataset/f06094bf-5db0-49a7-ae42-6eff9a417c2c?p_auth=ZZNdWlMm,Se facillita la web de Open Data del Ayuntamiento de Hospitalet donde se encuentran los datos de monitoreo de la calidad del aire.
2025 Disclosure Cycle,779465,CDP,74690,Municipality of L'Hospitalet de Llobregat,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),24.35,1,2023,https://www.seu-e.cat/ca/web/hospitaletdellobregat/dades-obertes/-/dadesobertes/dataset/hospitaletdellobregat-qualitat-de-l-aire/resource/d57c4f7a-bce4-4af7-b769-be0cac11faed?p_auth=vY2DubvG,Se facilita la url de Datos abiertos dónde se encuentra la medición de la calidad del aire
2025 Disclosure Cycle,779465,CDP,826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),City,Latin America,Mexico,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,No air pollution data to report,,,,,NO DISPONEMOS DE INFORMACIÓN PARA DIVULGAR
2025 Disclosure Cycle,779465,CDP,831812,Municipalidad de Puerto Barrios,City,Latin America,Guatemala,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,831923,Muğla,City,UKWW,Türkiye,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,"In our country, the Ministry of Environment, Urbanization, and Climate Change is legally responsible for monitoring air pollution, and they do not share detailed data with other institutions. Muğla Metropolitan Municipality will purchase air quality measurement devices within the next two years to monitor air quality throughout Muğla and ensure data flow. Measurements and monitoring will begin."
2025 Disclosure Cycle,779465,CDP,833284,West Midlands Combined Authority,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9.94,14,2019.0,The following link provides information on the sensor network as well as access to monitored data: https://cleanair.wmca.org.uk/pages/air-quality-data-platform,"The 14 automatic monitors are supplemented by 90 low cost sensors strategically located across the region. Data provided is still that from the WM-Air 2019 (business as usual) model output. The model is currently being updated to provide a 2024 baseline, however was not ready at the time of reporting. Data from the low cost sensor network has also not been included. This is because they are not reportable under LAQM regs (as they are indicative), and due to only recording data from January 2025 we cannot yet derive an annual mean from the data. \n\nThe following paragraph gives wider context to the annual mean presented in 4.9.2.\n \nThe 'average' annual mean concentrations for NO2 and PM2.5 were calculated by analysing the WM-Air 2019 (business as usual) model output TIFFs and calculating the mean value. The WM-Air model is a validated regional air quality model which covers the whole WMCA area and therefore provides a more representative picture of regional average concentrations in comparison to monitoring. Typically, statutory monitoring will be concentrated in areas of poor air quality and then any background sites will provide a picture of the minimum concentrations. Given the uneven distribution of monitoring locations and the relatively low granularity of automatic monitoring locations across the WMCA area, the modelled estimates provide a more realistic average value across the region. It should be noted that there are limitations with air quality models (likewise with monitoring) and the 'real-world' concentration (as with monitoring) will vary at locations where there is relevant exposure and is dependant on distance to pollutant sources etc. The 7 constituent LAs have at least 14 locations where both NO2 and PM2.5 is monitored using reference/reference equivalent automatic analysers. and it does not include the national AURN/Defra locations which are not typically managed by the LAs.\n"
